Achievement,Pretrained,kl_penalty,delta_kl_penalty
Achievements/collect_coal,0.5822,0.551,-0.0312
Achievements/collect_diamond,0.002,0.0,-0.002
Achievements/collect_drink,0.4767,0.49,0.0133
Achievements/collect_iron,0.3955,0.393,-0.0025
Achievements/collect_sapling,0.8012,0.797,-0.0042
Achievements/collect_stone,0.9341,0.946,0.0119
Achievements/collect_wood,0.999,0.996,-0.003
Achievements/defeat_skeleton,0.286,0.26,-0.026
Achievements/defeat_zombie,0.6501,0.639,-0.0111
Achievements/eat_cow,0.4371,0.42,-0.0171
Achievements/eat_plant,0.0,0.0,0.0
Achievements/make_iron_pickaxe,0.0446,0.037,-0.0076
Achievements/make_iron_sword,0.1886,0.189,0.0004
Achievements/make_stone_pickaxe,0.7748,0.769,-0.0058
Achievements/make_stone_sword,0.8174,0.827,0.0096
Achievements/make_wood_pickaxe,0.9686,0.968,-0.0006
Achievements/make_wood_sword,0.8753,0.87,-0.0053
Achievements/place_furnace,0.8895,0.883,-0.0065
Achievements/place_plant,0.3611,0.328,-0.0331
Achievements/place_stone,0.7799,0.792,0.0121
Achievements/place_table,0.9848,0.983,-0.0018
Achievements/wake_up,0.0892,0.074,-0.0152
