Achievement,Pretrained,action_diversity,delta_action_diversity,advantage_clip,delta_advantage_clip,attention_only,delta_attention_only,baseline_rl,delta_baseline_rl,bc_wins,delta_bc_wins,entropy_bonus,delta_entropy_bonus,ewc,delta_ewc,ffn_only,delta_ffn_only,frozen_backbone,delta_frozen_backbone,gradient_surgery,delta_gradient_surgery,head_only,delta_head_only,kl_penalty,delta_kl_penalty,layer_ablation_top1,delta_layer_ablation_top1,layer_ablation_top2,delta_layer_ablation_top2,layer_ablation_top3,delta_layer_ablation_top3,llrd,delta_llrd,lora,delta_lora,low_t,delta_low_t,mixed_replay,delta_mixed_replay,normalized_adv,delta_normalized_adv,reward_filtering,delta_reward_filtering,reward_model,delta_reward_model,running_stats,delta_running_stats,t_curriculum,delta_t_curriculum,trust_region_kl,delta_trust_region_kl
Achievements/collect_coal,0.44,0.5116,0.0716,0.4844,0.0444,0.0,-0.44,0.4674,0.0274,0.4578,0.0177,0.4698,0.0298,0.4894,0.0494,0.0,-0.44,0.0,-0.44,0.4812,0.0411,0.0,-0.44,0.4666,0.0265,0.0208,-0.4193,0.0,-0.44,0.0,-0.44,0.4688,0.0288,0.0,-0.44,0.4409,0.0008,0.4514,0.0114,0.0018,-0.4382,0.4818,0.0417,0.4694,0.0294,0.4855,0.0455,0.5109,0.0708,0.4515,0.0115
Achievements/collect_diamond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achievements/collect_drink,0.2717,0.3112,0.0395,0.3056,0.0338,0.1719,-0.0998,0.2888,0.017,0.2716,-0.0001,0.2997,0.0279,0.3066,0.0349,0.0056,-0.2661,0.0,-0.2717,0.3025,0.0307,0.0,-0.2717,0.2859,0.0141,0.2638,-0.0079,0.0105,-0.2612,0.0115,-0.2602,0.2962,0.0245,0.0,-0.2717,0.2829,0.0111,0.2828,0.0111,0.0585,-0.2132,0.2972,0.0255,0.2948,0.023,0.3119,0.0402,0.2913,0.0196,0.2787,0.007
Achievements/collect_iron,0.2497,0.3145,0.0648,0.2933,0.0436,0.0,-0.2497,0.3236,0.0739,0.2835,0.0338,0.2788,0.0291,0.2988,0.049,0.0,-0.2497,0.0,-0.2497,0.2777,0.028,0.0,-0.2497,0.2508,0.0011,0.001,-0.2487,0.0,-0.2497,0.0,-0.2497,0.3307,0.081,0.0,-0.2497,0.2718,0.0221,0.2519,0.0021,0.0,-0.2497,0.2928,0.0431,0.3024,0.0527,0.3098,0.06,0.3098,0.0601,0.291,0.0412
Achievements/collect_sapling,0.9131,0.9125,-0.0006,0.9256,0.0125,0.0905,-0.8226,0.9258,0.0128,0.9177,0.0047,0.9407,0.0276,0.9208,0.0078,0.0177,-0.8954,0.0057,-0.9074,0.9117,-0.0014,0.0045,-0.9085,0.92,0.007,0.8824,-0.0307,0.146,-0.7671,0.0256,-0.8875,0.9254,0.0123,0.0,-0.9131,0.9171,0.004,0.9285,0.0154,0.3016,-0.6114,0.9238,0.0107,0.9312,0.0181,0.9164,0.0033,0.8978,-0.0153,0.9465,0.0334
Achievements/collect_stone,0.8537,0.9014,0.0478,0.8689,0.0152,0.0,-0.8537,0.8787,0.025,0.8647,0.011,0.8825,0.0289,0.8718,0.0181,0.0009,-0.8528,0.0,-0.8537,0.8665,0.0128,0.0,-0.8537,0.8708,0.0171,0.0603,-0.7934,0.0,-0.8537,0.0,-0.8537,0.8831,0.0294,0.0,-0.8537,0.8552,0.0016,0.8623,0.0086,0.0347,-0.819,0.8785,0.0248,0.8646,0.0109,0.8939,0.0402,0.9011,0.0474,0.8551,0.0014
Achievements/collect_wood,0.9934,0.9922,-0.0012,0.9967,0.0033,0.7222,-0.2712,0.9978,0.0044,0.9946,0.0012,0.9967,0.0033,0.9922,-0.0012,0.155,-0.8384,0.1171,-0.8763,0.9957,0.0023,0.0964,-0.897,0.9978,0.0044,0.8972,-0.0962,0.0738,-0.9196,0.0734,-0.92,0.9967,0.0033,0.0,-0.9934,0.9956,0.0022,0.9925,-0.0009,0.5887,-0.4047,0.9978,0.0044,0.9956,0.0022,0.9936,0.0002,0.9967,0.0033,0.9978,0.0044
Achievements/defeat_skeleton,0.1727,0.2004,0.0277,0.19,0.0173,0.0,-0.1727,0.2112,0.0385,0.1807,0.008,0.1844,0.0117,0.2207,0.048,0.0,-0.1727,0.0,-0.1727,0.2013,0.0286,0.0,-0.1727,0.2092,0.0365,0.0198,-0.153,0.0,-0.1727,0.0,-0.1727,0.2194,0.0467,0.0,-0.1727,0.1867,0.014,0.1857,0.013,0.0,-0.1727,0.2133,0.0405,0.202,0.0292,0.1951,0.0224,0.1967,0.024,0.1839,0.0112
Achievements/defeat_zombie,0.6711,0.6777,0.0067,0.6644,-0.0066,0.0136,-0.6575,0.6933,0.0222,0.6591,-0.012,0.6597,-0.0114,0.6577,-0.0133,0.0075,-0.6636,0.0,-0.6711,0.6329,-0.0381,0.0,-0.6711,0.6616,-0.0095,0.3291,-0.342,0.0105,-0.6605,0.0,-0.6711,0.6915,0.0205,0.0,-0.6711,0.6552,-0.0158,0.6521,-0.019,0.0229,-0.6482,0.7006,0.0295,0.6594,-0.0117,0.6635,-0.0076,0.6228,-0.0482,0.6845,0.0134
Achievements/eat_cow,0.3894,0.4053,0.0159,0.3622,-0.0272,0.01,-0.3795,0.3674,-0.022,0.3636,-0.0258,0.36,-0.0294,0.3902,0.0008,0.0,-0.3894,0.0,-0.3894,0.3703,-0.0191,0.0,-0.3894,0.3965,0.0071,0.1433,-0.2462,0.0097,-0.3797,0.0,-0.3894,0.3864,-0.003,0.0,-0.3894,0.3547,-0.0347,0.3789,-0.0106,0.0119,-0.3776,0.4044,0.015,0.3876,-0.0019,0.3901,0.0007,0.3761,-0.0134,0.3813,-0.0082
Achievements/eat_plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achievements/make_iron_pickaxe,0.0044,0.0111,0.0067,0.0122,0.0078,0.0,-0.0044,0.0124,0.008,0.013,0.0086,0.011,0.0066,0.0145,0.0101,0.0,-0.0044,0.0,-0.0044,0.0194,0.015,0.0,-0.0044,0.0055,0.0011,0.0,-0.0044,0.0,-0.0044,0.0,-0.0044,0.0122,0.0078,0.0,-0.0044,0.0166,0.0122,0.016,0.0116,0.0,-0.0044,0.0243,0.0199,0.0175,0.0131,0.0118,0.0074,0.012,0.0076,0.0089,0.0045
Achievements/make_iron_sword,0.0638,0.1163,0.0525,0.0989,0.0351,0.0,-0.0638,0.0978,0.0339,0.0703,0.0065,0.101,0.0372,0.1026,0.0388,0.0,-0.0638,0.0,-0.0638,0.1023,0.0385,0.0,-0.0638,0.0756,0.0118,0.0,-0.0638,0.0,-0.0638,0.0,-0.0638,0.1203,0.0565,0.0,-0.0638,0.0961,0.0323,0.0822,0.0184,0.0,-0.0638,0.1094,0.0456,0.1015,0.0377,0.1008,0.0369,0.1076,0.0438,0.0792,0.0153
