Method,First_Collapse_Iter,Min_Score,Recovery_Score,Recovered
baseline_rl,never,10.0007,10.3813,N/A
kl_penalty,never,10.1477,10.3999,N/A
ewc,never,10.0607,10.4972,N/A
llrd,never,10.0231,10.476,N/A
lora,25,-0.914,-0.9148,N
mixed_replay,never,9.9942,10.3474,N/A
trust_region_kl,never,9.9983,10.2338,N/A
t_curriculum,never,10.0493,10.4017,N/A
entropy_bonus,never,10.0787,10.4019,N/A
gradient_surgery,never,9.8861,10.5012,N/A
advantage_clip,never,9.9216,10.3026,N/A
normalized_adv,150,0.6478,1.6395,N
bc_wins,never,9.9695,10.1957,N/A
low_t,never,9.847,10.0873,N/A
frozen_backbone,150,-0.7831,-0.1766,N
head_only,150,-0.7999,0.079,N
attention_only,100,0.1309,0.2168,N
ffn_only,175,-0.7101,1.1056,N
layer_ablation_top1,175,2.8906,2.2213,N
layer_ablation_top2,175,0.1569,-0.0198,N
layer_ablation_top3,150,-0.0031,-0.0612,N
reward_filtering,never,10.1646,10.5125,N/A
running_stats,never,10.0428,10.416,N/A
action_diversity,never,10.0191,10.5622,N/A
reward_model,never,9.8884,10.3153,N/A
