Method,HighLow_Ratio,LowHigh_Cos_Sim,Dominant_Regime
baseline_rl,0.115,0.058,low-t
kl_penalty,0.121,0.0985,low-t
ewc,0.122,0.1041,low-t
llrd,0.104,0.042,low-t
lora,0.332,0.9946,low-t
mixed_replay,0.11,0.0642,low-t
trust_region_kl,0.133,0.0923,low-t
t_curriculum,0.132,0.1344,low-t
entropy_bonus,0.121,0.1016,low-t
gradient_surgery,0.115,0.0604,low-t
advantage_clip,0.117,0.0728,low-t
normalized_adv,0.315,0.7032,low-t
bc_wins,0.115,0.1025,low-t
low_t,0.183,0.0786,low-t
frozen_backbone,0.331,0.9917,low-t
head_only,0.33,0.9927,low-t
attention_only,0.326,0.9654,low-t
ffn_only,0.332,0.9893,low-t
layer_ablation_top1,0.323,0.9747,low-t
layer_ablation_top2,0.321,0.9826,low-t
layer_ablation_top3,0.323,0.9786,low-t
reward_filtering,0.099,0.0477,low-t
running_stats,0.122,0.0999,low-t
action_diversity,0.116,0.0532,low-t
reward_model,0.121,0.0631,low-t
