Method,HighLow_Ratio,LowHigh_Cos_Sim,Dominant_Regime
baseline_rl,0.08,0.0888,low-t
kl_penalty,0.092,0.0543,low-t
ewc,0.08,0.0666,low-t
llrd,0.076,0.0818,low-t
lora,0.328,0.9819,low-t
mixed_replay,0.081,-0.0058,low-t
trust_region_kl,0.099,0.06,low-t
t_curriculum,0.098,0.0614,low-t
entropy_bonus,0.092,0.0534,low-t
gradient_surgery,0.08,0.0881,low-t
advantage_clip,0.078,0.0912,low-t
normalized_adv,0.303,0.6614,low-t
bc_wins,0.081,0.0876,low-t
low_t,0.103,0.0652,low-t
frozen_backbone,0.313,0.9871,low-t
head_only,0.314,0.9874,low-t
attention_only,0.307,0.9822,low-t
ffn_only,0.305,0.9569,low-t
layer_ablation_top1,0.302,0.9718,low-t
layer_ablation_top2,0.326,0.9374,low-t
layer_ablation_top3,0.325,0.8966,low-t
reward_filtering,0.075,0.0609,low-t
running_stats,0.083,0.0936,low-t
action_diversity,0.08,0.0895,low-t
reward_model,0.085,0.0771,low-t
