Method,Mean_Grad_Align,Final_Grad_Align,Trend,Mean_KL_Drift,Final_KL_Drift
reward_filtering,0.0361,0.137,up,0.124016,0.141319
low_t,0.0598,0.116,up,0.12234,0.142888
t_curriculum,0.0404,0.1097,down,0.141713,0.158725
lora,0.0301,0.0902,up,666264.128442,1839625.5
ewc,0.0166,0.0885,up,0.125528,0.140858
mixed_replay,0.0132,0.0619,down,0.122049,0.140192
layer_ablation_top2,-0.0072,0.0227,up,4.410997,2.569427
layer_ablation_top3,0.0031,0.0204,up,4.501474,4.177799
attention_only,0.0001,0.0116,up,6.691652,1.053753
trust_region_kl,0.0655,0.0103,down,0.064981,0.06282
layer_ablation_top1,-0.0044,0.007,up,7.238114,4.435149
entropy_bonus,0.0482,0.0065,down,0.123528,0.140658
kl_penalty,0.0527,0.0051,down,0.118066,0.133675
frozen_backbone,-0.0018,0.0018,up,20.072594,33.133343
head_only,-0.0016,0.0015,up,20.33527,34.089348
ffn_only,-0.002,-0.0016,up,13.429042,14.420309
llrd,0.0371,-0.0261,down,0.114091,0.141797
normalized_adv,-0.0266,-0.0275,down,43.818825,80.792145
advantage_clip,0.0265,-0.0428,down,0.129922,0.168065
bc_wins,0.0059,-0.051,down,0.130358,0.170706
baseline_rl,0.0342,-0.0517,down,0.124025,0.16103
action_diversity,0.0352,-0.0545,down,0.124216,0.161787
gradient_surgery,0.0338,-0.0581,down,0.12433,0.161617
reward_model,0.0307,-0.0712,down,0.125236,0.16344
running_stats,0.0234,-0.0911,down,0.127551,0.160108
