Method,Group,Final_Score,Delta_vs_Pretrained,Delta_vs_Baseline_RL,Verdict
action_diversity,D,10.5622,0.4667,0.1809,IMPROVEMENT
reward_filtering,D,10.5125,0.417,0.1312,IMPROVEMENT
gradient_surgery,B,10.5012,0.4058,0.12,IMPROVEMENT
ewc,A,10.4972,0.4017,0.1159,IMPROVEMENT
llrd,A,10.476,0.3805,0.0947,IMPROVEMENT
running_stats,D,10.416,0.3205,0.0347,IMPROVEMENT
entropy_bonus,B,10.4019,0.3065,0.0207,IMPROVEMENT
t_curriculum,B,10.4017,0.3062,0.0205,IMPROVEMENT
kl_penalty,A,10.3999,0.3044,0.0187,IMPROVEMENT
baseline_rl,Baseline,10.3813,0.2858,0.0,IMPROVEMENT
mixed_replay,A,10.3474,0.2519,-0.0338,IMPROVEMENT
reward_model,D,10.3153,0.2198,-0.0659,IMPROVEMENT
advantage_clip,B,10.3026,0.2071,-0.0787,IMPROVEMENT
trust_region_kl,A,10.2338,0.1383,-0.1475,IMPROVEMENT
bc_wins,B,10.1957,0.1002,-0.1855,IMPROVEMENT
low_t,B,10.0873,-0.0081,-0.2939,NEUTRAL
layer_ablation_top1,C,2.2213,-7.8742,-8.16,COLLAPSE
normalized_adv,B,1.6395,-8.456,-8.7418,COLLAPSE
ffn_only,C,1.1056,-8.9899,-9.2757,COLLAPSE
attention_only,C,0.2168,-9.8787,-10.1645,COLLAPSE
head_only,C,0.079,-10.0165,-10.3023,COLLAPSE
layer_ablation_top2,C,-0.0198,-10.1153,-10.401,COLLAPSE
layer_ablation_top3,C,-0.0612,-10.1567,-10.4425,COLLAPSE
frozen_backbone,C,-0.1766,-10.2721,-10.5578,COLLAPSE
lora,A,-0.9148,-11.0103,-11.296,COLLAPSE
