Method,Achievements/collect_coal,Achievements/collect_diamond,Achievements/collect_drink,Achievements/collect_iron,Achievements/collect_sapling,Achievements/collect_stone,Achievements/collect_wood,Achievements/defeat_skeleton,Achievements/defeat_zombie,Achievements/eat_cow,Achievements/eat_plant,Achievements/make_iron_pickaxe,Achievements/make_iron_sword,Achievements/make_stone_pickaxe,Achievements/make_stone_sword,Achievements/make_wood_pickaxe,Achievements/make_wood_sword,Achievements/place_furnace,Achievements/place_plant,Achievements/place_stone,Achievements/place_table,Achievements/wake_up
pretrained,0.44,0.0,0.2717,0.2497,0.9131,0.8537,0.9934,0.1727,0.6711,0.3894,0.0,0.0044,0.0638,0.6205,0.6821,0.9021,0.6678,0.7646,0.6557,0.6513,0.9593,0.0011
action_diversity,0.5116,0.0,0.3112,0.3145,0.9125,0.9014,0.9922,0.2004,0.6777,0.4053,0.0,0.0111,0.1163,0.7065,0.7619,0.9369,0.5958,0.8317,0.6346,0.7386,0.969,0.0011
advantage_clip,0.4844,0.0,0.3056,0.2933,0.9256,0.8689,0.9967,0.19,0.6644,0.3622,0.0,0.0122,0.0989,0.6778,0.7244,0.92,0.5789,0.7689,0.6456,0.6789,0.9656,0.0
attention_only,0.0,0.0,0.1719,0.0,0.0905,0.0,0.7222,0.0,0.0136,0.01,0.0,0.0,0.0,0.0,0.0,0.0018,0.0018,0.0,0.0,0.0,0.0018,0.0
baseline_rl,0.4674,0.0,0.2888,0.3236,0.9258,0.8787,0.9978,0.2112,0.6933,0.3674,0.0,0.0124,0.0978,0.6888,0.7438,0.9124,0.6034,0.8169,0.636,0.7079,0.9753,0.0011
bc_wins,0.4578,0.0,0.2716,0.2835,0.9177,0.8647,0.9946,0.1807,0.6591,0.3636,0.0,0.013,0.0703,0.6342,0.7219,0.9069,0.5963,0.776,0.6374,0.6742,0.9665,0.0011
entropy_bonus,0.4698,0.0,0.2997,0.2788,0.9407,0.8825,0.9967,0.1844,0.6597,0.36,0.0,0.011,0.101,0.6619,0.7278,0.9177,0.6125,0.798,0.6553,0.6915,0.966,0.0011
ewc,0.4894,0.0,0.3066,0.2988,0.9208,0.8718,0.9922,0.2207,0.6577,0.3902,0.0,0.0145,0.1026,0.6611,0.7391,0.9231,0.6143,0.7815,0.641,0.709,0.9654,0.0011
ffn_only,0.0,0.0,0.0056,0.0,0.0177,0.0009,0.155,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0019,0.0009,0.0075,0.0,0.0037,0.0103
frozen_backbone,0.0,0.0,0.0,0.0,0.0057,0.0,0.1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,0.0
gradient_surgery,0.4812,0.0,0.3025,0.2777,0.9117,0.8665,0.9957,0.2013,0.6329,0.3703,0.0,0.0194,0.1023,0.662,0.7255,0.9117,0.5996,0.7869,0.6609,0.6932,0.9688,0.0
head_only,0.0,0.0,0.0,0.0,0.0045,0.0,0.0964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0
kl_penalty,0.4666,0.0011,0.2859,0.2508,0.92,0.8708,0.9978,0.2092,0.6616,0.3965,0.0,0.0055,0.0756,0.6517,0.7284,0.9091,0.5969,0.7864,0.6528,0.7032,0.9715,0.0
