Method,KL_mean,KL_low_t,KL_mid_t,KL_high_t
trust_region_kl,0.06282,0.074332,0.06191,0.045485
kl_penalty,0.133675,0.144988,0.141122,0.088851
mixed_replay,0.140192,0.143563,0.144496,0.109675
entropy_bonus,0.140658,0.150369,0.147851,0.097635
ewc,0.140858,0.150312,0.148659,0.107483
reward_filtering,0.141319,0.141468,0.146199,0.115181
llrd,0.141797,0.144636,0.150421,0.107353
low_t,0.142888,0.160648,0.148325,0.106437
t_curriculum,0.158725,0.16181,0.165167,0.128317
running_stats,0.160108,0.160917,0.170524,0.121748
baseline_rl,0.16103,0.162563,0.169504,0.126078
gradient_surgery,0.161617,0.162726,0.169869,0.126851
action_diversity,0.161787,0.163048,0.170044,0.127824
reward_model,0.16344,0.171579,0.172993,0.117752
advantage_clip,0.168065,0.175439,0.181685,0.118277
bc_wins,0.170706,0.179078,0.183516,0.118936
attention_only,1.053753,1.155933,1.093683,0.849405
layer_ablation_top2,2.569427,2.688297,2.596361,2.395493
layer_ablation_top3,4.177799,4.256046,4.195079,4.048059
layer_ablation_top1,4.435149,4.659545,4.440756,4.208323
ffn_only,14.420309,14.342316,14.433171,14.440207
frozen_backbone,33.133343,33.045479,33.127991,33.207237
head_only,34.089348,34.080482,34.087097,34.067673
normalized_adv,80.792145,81.485153,81.188583,79.488838
lora,1839625.5,1841324.375,1837735.75,1819136.5
