Achievement,Pretrained,action_diversity,delta_action_diversity,advantage_clip,delta_advantage_clip,attention_only,delta_attention_only,baseline_rl,delta_baseline_rl,bc_wins,delta_bc_wins,entropy_bonus,delta_entropy_bonus,ewc,delta_ewc,ffn_only,delta_ffn_only,frozen_backbone,delta_frozen_backbone,gradient_surgery,delta_gradient_surgery,head_only,delta_head_only,kl_penalty,delta_kl_penalty,layer_ablation_top1,delta_layer_ablation_top1,layer_ablation_top2,delta_layer_ablation_top2,layer_ablation_top3,delta_layer_ablation_top3,llrd,delta_llrd,lora,delta_lora,low_t,delta_low_t,mixed_replay,delta_mixed_replay,normalized_adv,delta_normalized_adv,reward_filtering,delta_reward_filtering,reward_model,delta_reward_model,running_stats,delta_running_stats,t_curriculum,delta_t_curriculum,trust_region_kl,delta_trust_region_kl
Achievements/collect_coal,0.4857,0.5079,0.0222,0.4338,-0.0519,0.0,-0.4857,0.4429,-0.0429,0.4643,-0.0214,0.4255,-0.0602,0.5407,0.055,0.0303,-0.4554,0.0,-0.4857,0.4118,-0.0739,0.0,-0.4857,0.4815,-0.0042,0.1702,-0.3155,0.2806,-0.2051,0.1812,-0.3046,0.4468,-0.0389,0.0,-0.4857,0.4085,-0.0773,0.5391,0.0533,0.084,-0.4017,0.4317,-0.0541,0.4615,-0.0242,0.5074,0.0216,0.4397,-0.046,0.4074,-0.0783
Achievements/collect_diamond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achievements/collect_drink,0.3857,0.4286,0.0429,0.4044,0.0187,0.0,-0.3857,0.3857,0.0,0.3714,-0.0143,0.3333,-0.0524,0.437,0.0513,0.2848,-0.1009,0.0,-0.3857,0.4191,0.0334,0.0,-0.3857,0.3259,-0.0598,0.3333,-0.0524,0.4245,0.0387,0.4203,0.0346,0.4043,0.0185,0.0,-0.3857,0.3944,0.0087,0.4141,0.0283,0.1849,-0.2008,0.3453,-0.0404,0.3427,-0.0431,0.3676,-0.0181,0.3972,0.0114,0.4,0.0143
Achievements/collect_iron,0.3357,0.3095,-0.0262,0.3309,-0.0048,0.0,-0.3357,0.3786,0.0429,0.3571,0.0214,0.2979,-0.0378,0.3556,0.0198,0.0,-0.3357,0.0,-0.3357,0.3088,-0.0269,0.0,-0.3357,0.3704,0.0347,0.0213,-0.3144,0.1151,-0.2206,0.0652,-0.2705,0.2979,-0.0378,0.0,-0.3357,0.2676,-0.0681,0.4062,0.0705,0.0084,-0.3273,0.4029,0.0672,0.3427,0.0069,0.4118,0.0761,0.3546,0.0189,0.2815,-0.0542
Achievements/collect_sapling,0.9071,0.9127,0.0056,0.9265,0.0193,0.0,-0.9071,0.8643,-0.0429,0.8571,-0.05,0.9362,0.029,0.9037,-0.0034,0.5576,-0.3496,0.0,-0.9071,0.9191,0.012,0.0,-0.9071,0.9333,0.0262,0.7801,-0.127,0.8993,-0.0079,0.8623,-0.0448,0.8936,-0.0135,0.0,-0.9071,0.9296,0.0224,0.9141,0.0069,1.0,0.0929,0.9065,-0.0007,0.9021,-0.005,0.8897,-0.0174,0.9149,0.0078,0.8889,-0.0183
Achievements/collect_stone,0.9,0.8651,-0.0349,0.8824,-0.0176,0.0,-0.9,0.8929,-0.0071,0.8929,-0.0071,0.8936,-0.0064,0.9037,0.0037,0.1576,-0.7424,0.0,-0.9,0.8603,-0.0397,0.0,-0.9,0.8815,-0.0185,0.5106,-0.3894,0.5899,-0.3101,0.6522,-0.2478,0.8652,-0.0348,0.0,-0.9,0.8873,-0.0127,0.9141,0.0141,0.3025,-0.5975,0.9065,0.0065,0.8951,-0.0049,0.9044,0.0044,0.8865,-0.0135,0.9333,0.0333
Achievements/collect_wood,1.0,0.9921,-0.0079,0.9926,-0.0074,0.0,-1.0,0.9929,-0.0071,0.9929,-0.0071,0.9858,-0.0142,1.0,0.0,0.9212,-0.0788,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9928,-0.0072,0.9929,-0.0071,0.0,-1.0,0.9859,-0.0141,1.0,0.0,0.958,-0.042,0.9928,-0.0072,1.0,0.0,0.9926,-0.0074,0.9929,-0.0071,1.0,0.0
Achievements/defeat_skeleton,0.1571,0.254,0.0968,0.2279,0.0708,0.0,-0.1571,0.2143,0.0571,0.2071,0.05,0.1844,0.0273,0.2,0.0429,0.0242,-0.1329,0.0,-0.1571,0.2132,0.0561,0.0,-0.1571,0.2296,0.0725,0.078,-0.0791,0.0791,-0.078,0.1087,-0.0484,0.0993,-0.0579,0.0,-0.1571,0.1972,0.04,0.2266,0.0694,0.0924,-0.0647,0.2446,0.0875,0.2028,0.0457,0.1838,0.0267,0.2553,0.0982,0.2296,0.0725
Achievements/defeat_zombie,0.6214,0.6508,0.0294,0.5956,-0.0258,0.0,-0.6214,0.7214,0.1,0.5714,-0.05,0.695,0.0736,0.6815,0.0601,0.2606,-0.3608,0.0,-0.6214,0.6912,0.0697,0.0,-0.6214,0.6519,0.0304,0.5887,-0.0328,0.5971,-0.0243,0.6884,0.067,0.6879,0.0665,0.0,-0.6214,0.6761,0.0546,0.6484,0.027,0.6134,-0.008,0.6906,0.0692,0.6643,0.0429,0.6397,0.0183,0.6454,0.024,0.6815,0.0601
Achievements/eat_cow,0.3357,0.4603,0.1246,0.3603,0.0246,0.0,-0.3357,0.3429,0.0071,0.3786,0.0429,0.383,0.0473,0.3333,-0.0024,0.1152,-0.2206,0.0,-0.3357,0.375,0.0393,0.0,-0.3357,0.3926,0.0569,0.2057,-0.13,0.2446,-0.0911,0.2971,-0.0386,0.2908,-0.0449,0.0,-0.3357,0.3732,0.0375,0.4219,0.0862,0.2437,-0.092,0.3022,-0.0336,0.3427,0.0069,0.375,0.0393,0.305,-0.0307,0.363,0.0272
