Method,First_Collapse_Iter,Min_Score,Recovery_Score,Recovered
baseline_rl,never,9.7303,10.8216,N/A
kl_penalty,never,9.8106,10.988,N/A
ewc,never,9.5767,10.7862,N/A
llrd,never,10.0296,10.7272,N/A
lora,25,-0.9283,-0.9103,N
mixed_replay,never,10.0754,10.9151,N/A
trust_region_kl,never,9.8786,10.6206,N/A
t_curriculum,never,10.1262,10.9168,N/A
entropy_bonus,never,9.8287,10.919,N/A
gradient_surgery,never,9.8682,10.8241,N/A
advantage_clip,never,9.737,10.7793,N/A
normalized_adv,250,5.3672,5.0739,N
bc_wins,never,9.8543,10.8676,N/A
low_t,never,9.9204,10.6598,N/A
frozen_backbone,75,-0.9247,0.2878,N
head_only,75,-0.9247,0.2743,N
attention_only,75,-0.9247,0.5447,N
ffn_only,200,3.0321,1.8791,N
layer_ablation_top1,175,6.2978,4.0468,N
layer_ablation_top2,225,7.2379,6.3875,N
layer_ablation_top3,175,7.6156,6.0164,Y
reward_filtering,never,9.8508,11.0502,N/A
running_stats,never,10.0158,10.9616,N/A
action_diversity,never,9.9356,11.0773,N/A
reward_model,never,9.9416,10.8205,N/A
