Method,Mean_Grad_Align,Final_Grad_Align,Trend,Mean_KL_Drift,Final_KL_Drift
trust_region_kl,0.0555,0.1171,up,0.059783,0.064425
kl_penalty,0.0206,0.0969,up,0.14607,0.167528
mixed_replay,-0.0176,0.0927,up,0.158821,0.173193
entropy_bonus,0.0139,0.0891,up,0.16366,0.189308
running_stats,0.023,0.0808,down,0.180406,0.21801
reward_filtering,0.0208,0.0775,up,0.114046,0.151835
lora,0.0827,0.077,down,594365.340527,1679591.0
bc_wins,0.0092,0.0702,down,0.19145,0.219727
llrd,0.0125,0.068,up,0.137441,0.188783
advantage_clip,-0.0014,0.0667,up,0.189775,0.219086
gradient_surgery,0.0153,0.065,up,0.159825,0.209463
baseline_rl,0.0153,0.0645,up,0.159842,0.2096
action_diversity,0.0153,0.0644,up,0.159893,0.209855
t_curriculum,0.0152,0.0495,up,0.197279,0.225474
reward_model,0.0169,0.0449,down,0.171694,0.222742
normalized_adv,0.0111,0.035,up,33.724305,63.2407
layer_ablation_top3,0.0474,0.0302,down,12.019569,16.208744
low_t,0.0246,0.0278,down,0.13292,0.187926
attention_only,0.0171,0.0192,up,110.250885,90.191254
frozen_backbone,0.0152,0.0109,down,125.046066,115.5261
head_only,0.0151,0.0109,down,125.37802,115.826111
ffn_only,0.0466,0.0048,down,15.351683,23.891375
layer_ablation_top1,0.0475,-0.0028,down,11.511555,13.324247
layer_ablation_top2,0.0461,-0.004,down,11.360045,9.672604
ewc,0.0251,-0.0246,down,0.153398,0.194954
