Method,Group,Final_Score,Delta_vs_Pretrained,Delta_vs_Baseline_RL,Verdict
action_diversity,D,11.0773,0.5487,0.2557,IMPROVEMENT
reward_filtering,D,11.0502,0.5216,0.2286,IMPROVEMENT
kl_penalty,A,10.988,0.4594,0.1664,IMPROVEMENT
running_stats,D,10.9616,0.433,0.14,IMPROVEMENT
entropy_bonus,B,10.919,0.3904,0.0974,IMPROVEMENT
t_curriculum,B,10.9168,0.3882,0.0952,IMPROVEMENT
mixed_replay,A,10.9151,0.3865,0.0935,IMPROVEMENT
bc_wins,B,10.8676,0.339,0.046,IMPROVEMENT
gradient_surgery,B,10.8241,0.2955,0.0025,IMPROVEMENT
baseline_rl,Baseline,10.8216,0.293,0.0,IMPROVEMENT
reward_model,D,10.8205,0.2919,-0.0011,IMPROVEMENT
ewc,A,10.7862,0.2577,-0.0353,IMPROVEMENT
advantage_clip,B,10.7793,0.2507,-0.0423,IMPROVEMENT
llrd,A,10.7272,0.1986,-0.0944,IMPROVEMENT
low_t,B,10.6598,0.1312,-0.1618,IMPROVEMENT
trust_region_kl,A,10.6206,0.092,-0.201,IMPROVEMENT
layer_ablation_top2,C,6.3875,-4.1411,-4.4341,COLLAPSE
layer_ablation_top3,C,6.0164,-4.5122,-4.8052,COLLAPSE
normalized_adv,B,5.0739,-5.4547,-5.7477,COLLAPSE
layer_ablation_top1,C,4.0468,-6.4818,-6.7748,COLLAPSE
ffn_only,C,1.8791,-8.6494,-8.9424,COLLAPSE
attention_only,C,0.5447,-9.9838,-10.2768,COLLAPSE
frozen_backbone,C,0.2878,-10.2408,-10.5338,COLLAPSE
head_only,C,0.2743,-10.2543,-10.5473,COLLAPSE
lora,A,-0.9103,-11.4389,-11.7319,COLLAPSE
