Method,Achievements/collect_coal,Achievements/collect_diamond,Achievements/collect_drink,Achievements/collect_iron,Achievements/collect_sapling,Achievements/collect_stone,Achievements/collect_wood,Achievements/defeat_skeleton,Achievements/defeat_zombie,Achievements/eat_cow,Achievements/eat_plant,Achievements/make_iron_pickaxe,Achievements/make_iron_sword,Achievements/make_stone_pickaxe,Achievements/make_stone_sword,Achievements/make_wood_pickaxe,Achievements/make_wood_sword,Achievements/place_furnace,Achievements/place_plant,Achievements/place_stone,Achievements/place_table,Achievements/wake_up
pretrained,0.4857,0.0,0.3857,0.3357,0.9071,0.9,1.0,0.1571,0.6214,0.3357,0.0,0.0214,0.1214,0.65,0.7286,0.9357,0.6714,0.8,0.5929,0.6429,0.9786,0.0929
action_diversity,0.5079,0.0,0.4286,0.3095,0.9127,0.8651,0.9921,0.254,0.6508,0.4603,0.0,0.0238,0.1349,0.6746,0.7302,0.9444,0.6587,0.7778,0.6508,0.6429,0.9683,0.119
advantage_clip,0.4338,0.0,0.4044,0.3309,0.9265,0.8824,0.9926,0.2279,0.5956,0.3603,0.0,0.0221,0.125,0.6029,0.7353,0.9265,0.6765,0.8309,0.7059,0.7279,0.9853,0.0735
attention_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_rl,0.4429,0.0,0.3857,0.3786,0.8643,0.8929,0.9929,0.2143,0.7214,0.3429,0.0,0.0214,0.1571,0.6714,0.7214,0.9286,0.6786,0.8214,0.5786,0.7143,0.9571,0.0786
bc_wins,0.4643,0.0,0.3714,0.3571,0.8571,0.8929,0.9929,0.2071,0.5714,0.3786,0.0,0.0,0.1571,0.6929,0.75,0.9571,0.7357,0.8214,0.6286,0.7071,0.9643,0.1
entropy_bonus,0.4255,0.0,0.3333,0.2979,0.9362,0.8936,0.9858,0.1844,0.695,0.383,0.0,0.0284,0.1206,0.6525,0.766,0.9362,0.6879,0.8156,0.695,0.695,0.9433,0.0709
ewc,0.5407,0.0074,0.437,0.3556,0.9037,0.9037,1.0,0.2,0.6815,0.3333,0.0,0.037,0.1259,0.7407,0.7259,0.9556,0.6667,0.8148,0.6519,0.7185,0.9778,0.0963
ffn_only,0.0303,0.0,0.2848,0.0,0.5576,0.1576,0.9212,0.0242,0.2606,0.1152,0.0,0.0,0.0,0.0242,0.0545,0.3636,0.3091,0.0303,0.0242,0.0485,0.4788,0.0061
frozen_backbone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradient_surgery,0.4118,0.0,0.4191,0.3088,0.9191,0.8603,1.0,0.2132,0.6912,0.375,0.0,0.0074,0.0956,0.6838,0.6765,0.9412,0.7132,0.7574,0.6324,0.6397,0.9853,0.1324
head_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kl_penalty,0.4815,0.0,0.3259,0.3704,0.9333,0.8815,1.0,0.2296,0.6519,0.3926,0.0,0.0222,0.1778,0.6815,0.7185,0.9481,0.6889,0.8,0.6593,0.6444,0.9704,0.1481
layer_ablation_top1,0.1702,0.0,0.3333,0.0213,0.7801,0.5106,1.0,0.078,0.5887,0.2057,0.0,0.0,0.0,0.1418,0.2482,0.695,0.6596,0.1986,0.0426,0.227,0.8014,0.2199
layer_ablation_top2,0.2806,0.0,0.4245,0.1151,0.8993,0.5899,1.0,0.0791,0.5971,0.2446,0.0,0.0144,0.0288,0.3525,0.3669,0.7554,0.7554,0.4388,0.0791,0.2806,0.8561,0.1583
layer_ablation_top3,0.1812,0.0,0.4203,0.0652,0.8623,0.6522,0.9928,0.1087,0.6884,0.2971,0.0,0.0072,0.0,0.2971,0.3696,0.7971,0.7971,0.4565,0.1014,0.2681,0.8623,0.2391
llrd,0.4468,0.0,0.4043,0.2979,0.8936,0.8652,0.9929,0.0993,0.6879,0.2908,0.0,0.0213,0.0922,0.6525,0.7447,0.922,0.6738,0.7872,0.6879,0.6879,0.9504,0.1064
lora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_t,0.4085,0.0,0.3944,0.2676,0.9296,0.8873,0.9859,0.1972,0.6761,0.3732,0.0,0.0141,0.0845,0.6408,0.7465,0.9155,0.7254,0.7958,0.6901,0.7254,0.9507,0.1197
mixed_replay,0.5391,0.0,0.4141,0.4062,0.9141,0.9141,1.0,0.2266,0.6484,0.4219,0.0,0.0078,0.1875,0.6875,0.7656,0.9297,0.6875,0.7969,0.6719,0.7187,0.9922,0.0547
