Method,KL_mean,KL_low_t,KL_mid_t,KL_high_t
trust_region_kl,0.064425,0.079172,0.064176,0.046738
reward_filtering,0.151835,0.164997,0.151723,0.143443
kl_penalty,0.167528,0.182938,0.169007,0.164755
mixed_replay,0.173193,0.17947,0.169166,0.165786
low_t,0.187926,0.196443,0.180127,0.193411
llrd,0.188783,0.194401,0.183651,0.181313
entropy_bonus,0.189308,0.198052,0.186509,0.196232
ewc,0.194954,0.214022,0.190065,0.183393
gradient_surgery,0.209463,0.216535,0.204606,0.200818
baseline_rl,0.2096,0.216757,0.204743,0.200695
action_diversity,0.209855,0.217063,0.205008,0.201086
running_stats,0.21801,0.223517,0.214218,0.215939
advantage_clip,0.219086,0.226308,0.216805,0.217097
bc_wins,0.219727,0.227315,0.217366,0.216954
reward_model,0.222742,0.231557,0.217179,0.216113
t_curriculum,0.225474,0.223155,0.21883,0.244676
layer_ablation_top2,9.672604,8.604239,9.558239,10.714105
layer_ablation_top1,13.324247,13.311382,13.21699,13.340172
layer_ablation_top3,16.208744,16.479584,15.960442,16.609873
ffn_only,23.891375,22.415035,23.823528,25.39563
normalized_adv,63.2407,63.106873,64.224091,61.898434
attention_only,90.191254,90.413528,90.065102,90.144936
frozen_backbone,115.5261,115.571564,115.430725,115.766418
head_only,115.826111,115.743759,115.716293,116.180679
lora,1679591.0,1673381.25,1672479.625,1676199.75
