Achievement,Pretrained,action_diversity,delta_action_diversity,advantage_clip,delta_advantage_clip,attention_only,delta_attention_only,baseline_rl,delta_baseline_rl,bc_wins,delta_bc_wins,entropy_bonus,delta_entropy_bonus,ewc,delta_ewc,ffn_only,delta_ffn_only,frozen_backbone,delta_frozen_backbone,gradient_surgery,delta_gradient_surgery,head_only,delta_head_only,kl_penalty,delta_kl_penalty,layer_ablation_top1,delta_layer_ablation_top1,layer_ablation_top2,delta_layer_ablation_top2,layer_ablation_top3,delta_layer_ablation_top3,llrd,delta_llrd,lora,delta_lora,low_t,delta_low_t,mixed_replay,delta_mixed_replay,normalized_adv,delta_normalized_adv,reward_filtering,delta_reward_filtering,reward_model,delta_reward_model,running_stats,delta_running_stats,t_curriculum,delta_t_curriculum,trust_region_kl,delta_trust_region_kl
Achievements/collect_coal,0.6739,0.7328,0.0589,0.6769,0.003,0.0,-0.6739,0.7031,0.0292,0.7132,0.0393,0.6818,0.0079,0.7246,0.0507,0.0,-0.6739,0.0,-0.6739,0.6716,-0.0023,0.0,-0.6739,0.7176,0.0436,0.0,-0.6739,0.0,-0.6739,0.0,-0.6739,0.76,0.0861,0.0,-0.6739,0.6241,-0.0498,0.6423,-0.0316,0.3468,-0.3271,0.6591,-0.0148,0.6538,-0.0201,0.6889,0.015,0.6812,0.0072,0.6953,0.0214
Achievements/collect_diamond,0.0,0.0076,0.0076,0.0,0.0,0.0,0.0,0.0078,0.0078,0.0078,0.0078,0.0076,0.0076,0.0072,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0071,0.0071,0.0073,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0074,0.0,0.0,0.0078,0.0078
Achievements/collect_drink,0.587,0.5802,-0.0068,0.6077,0.0207,0.0,-0.587,0.6172,0.0302,0.4884,-0.0986,0.5076,-0.0794,0.4855,-0.1014,0.0,-0.587,0.0,-0.587,0.5224,-0.0646,0.0,-0.587,0.5267,-0.0602,0.0,-0.587,0.0,-0.587,0.0,-0.587,0.568,-0.019,0.0,-0.587,0.4681,-0.1189,0.5547,-0.0322,0.3295,-0.2575,0.6364,0.0494,0.5077,-0.0793,0.5481,-0.0388,0.5,-0.087,0.5781,-0.0088
Achievements/collect_iron,0.529,0.5649,0.0359,0.5231,-0.0059,0.0,-0.529,0.5703,0.0413,0.5736,0.0447,0.5076,-0.0214,0.5725,0.0435,0.0,-0.529,0.0,-0.529,0.5224,-0.0066,0.0,-0.529,0.5878,0.0588,0.0,-0.529,0.0,-0.529,0.0,-0.529,0.552,0.023,0.0,-0.529,0.5035,-0.0254,0.4453,-0.0837,0.0462,-0.4827,0.5379,0.0089,0.5308,0.0018,0.4889,-0.0401,0.5145,-0.0145,0.5469,0.0179
Achievements/collect_sapling,0.8406,0.8626,0.022,0.8615,0.021,0.0,-0.8406,0.8516,0.011,0.907,0.0664,0.8864,0.0458,0.8986,0.058,0.0,-0.8406,0.0,-0.8406,0.8881,0.0475,0.0,-0.8406,0.8779,0.0373,0.0,-0.8406,0.0,-0.8406,0.0,-0.8406,0.824,-0.0166,0.0,-0.8406,0.7234,-0.1172,0.9197,0.0791,0.8439,0.0034,0.8788,0.0382,0.8462,0.0056,0.8593,0.0187,0.7899,-0.0507,0.8594,0.0188
Achievements/collect_stone,0.8696,0.9313,0.0617,0.9385,0.0689,0.0,-0.8696,0.9609,0.0914,0.969,0.0994,0.9015,0.0319,0.9203,0.0507,0.0,-0.8696,0.0,-0.8696,0.9403,0.0707,0.0,-0.8696,0.916,0.0465,0.0,-0.8696,0.0,-0.8696,0.0,-0.8696,0.928,0.0584,0.0,-0.8696,0.8794,0.0099,0.9343,0.0647,0.815,-0.0545,0.8864,0.0168,0.9231,0.0535,0.9481,0.0786,0.8913,0.0217,0.9062,0.0367
Achievements/collect_wood,1.0,1.0,-0.0,1.0,-0.0,0.0,-1.0,1.0,-0.0,1.0,-0.0,0.9924,-0.0076,1.0,0.0,0.0,-1.0,0.0,-1.0,0.9925,-0.0075,0.0,-1.0,1.0,-0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.9858,-0.0142,0.9927,-0.0073,0.9827,-0.0173,1.0,-0.0,0.9923,-0.0077,1.0,-0.0,1.0,0.0,1.0,-0.0
Achievements/defeat_skeleton,0.2536,0.2672,0.0136,0.3154,0.0618,0.0,-0.2536,0.3125,0.0589,0.2713,0.0177,0.2348,-0.0188,0.3116,0.058,0.0,-0.2536,0.0,-0.2536,0.2537,0.0001,0.0,-0.2536,0.2443,-0.0093,0.0,-0.2536,0.0,-0.2536,0.0,-0.2536,0.32,0.0664,0.0,-0.2536,0.234,-0.0196,0.2409,-0.0127,0.0578,-0.1958,0.2576,0.004,0.2769,0.0233,0.2222,-0.0314,0.2029,-0.0507,0.2734,0.0198
Achievements/defeat_zombie,0.6449,0.6641,0.0192,0.6769,0.032,0.0,-0.6449,0.6641,0.0191,0.6977,0.0527,0.6818,0.0369,0.6377,-0.0072,0.0,-0.6449,0.0,-0.6449,0.7015,0.0566,0.0,-0.6449,0.6183,-0.0266,0.0,-0.6449,0.0,-0.6449,0.0,-0.6449,0.664,0.0191,0.0,-0.6449,0.6738,0.0288,0.6423,-0.0026,0.4046,-0.2403,0.7273,0.0823,0.5923,-0.0526,0.6815,0.0366,0.6594,0.0145,0.6016,-0.0434
Achievements/eat_cow,0.4855,0.458,-0.0275,0.4615,-0.024,0.0,-0.4855,0.5625,0.077,0.4961,0.0106,0.4848,-0.0007,0.4855,0.0,0.0,-0.4855,0.0,-0.4855,0.4851,-0.0004,0.0,-0.4855,0.4733,-0.0122,0.0,-0.4855,0.0,-0.4855,0.0,-0.4855,0.464,-0.0215,0.0,-0.4855,0.4681,-0.0174,0.4964,0.0108,0.3295,-0.156,0.5606,0.0751,0.4308,-0.0547,0.4667,-0.0188,0.5,0.0145,0.4766,-0.0089
