Method,First_Collapse_Iter,Min_Score,Recovery_Score,Recovered
baseline_rl,never,11.7059,12.854,N/A
kl_penalty,never,11.5571,12.4189,N/A
ewc,never,11.7177,12.6798,N/A
llrd,never,11.8639,12.9572,N/A
lora,50,-0.9233,-0.0911,N
mixed_replay,never,11.9271,12.3638,N/A
trust_region_kl,never,11.9123,12.4493,N/A
t_curriculum,never,11.3248,11.8874,N/A
entropy_bonus,never,11.9583,12.3347,N/A
gradient_surgery,never,11.9035,12.3924,N/A
advantage_clip,never,11.9686,12.4117,N/A
normalized_adv,100,8.4736,7.78,N
bc_wins,never,11.715,12.8671,N/A
low_t,never,11.4438,11.7222,N/A
frozen_backbone,50,-0.9145,-0.375,N
head_only,50,-0.9145,-0.375,N
attention_only,50,-0.9145,-0.375,N
ffn_only,50,-0.9271,-0.3507,N
layer_ablation_top1,50,-0.9263,-0.9098,N
layer_ablation_top2,50,-0.9263,-0.3468,N
layer_ablation_top3,50,-0.9271,-0.9034,N
reward_filtering,never,11.8686,12.7864,N/A
running_stats,never,11.9331,12.6333,N/A
action_diversity,never,11.6041,12.6593,N/A
reward_model,never,12.0043,12.238,N/A
