Method,Mean_Grad_Align,Final_Grad_Align,Trend,Mean_KL_Drift,Final_KL_Drift
ewc,0.018,0.1002,up,0.094811,0.140318
ffn_only,0.0126,0.0462,up,13.329964,7.972916
lora,0.0074,0.0282,up,1568004.899063,4692599.0
bc_wins,0.0247,0.0076,up,0.104022,0.137008
kl_penalty,0.0219,0.0058,up,0.099059,0.127981
entropy_bonus,0.0214,0.0026,up,0.101445,0.131264
trust_region_kl,0.0141,0.002,up,0.05754,0.056624
reward_model,0.0202,0.0015,up,0.102243,0.140539
frozen_backbone,0.0023,-0.0004,down,246.224184,323.774475
attention_only,0.0025,-0.0004,down,236.199471,312.413666
head_only,0.0021,-0.0005,down,247.458822,325.598602
reward_filtering,0.0272,-0.0047,down,0.092632,0.129017
t_curriculum,0.0159,-0.015,down,0.128168,0.142742
low_t,0.005,-0.0177,down,0.091179,0.124161
running_stats,0.0189,-0.033,up,0.103362,0.139692
advantage_clip,0.0141,-0.0393,up,0.105031,0.137774
llrd,0.02,-0.0431,down,0.080026,0.1236
mixed_replay,-0.0026,-0.0463,down,0.098294,0.129276
layer_ablation_top2,0.0151,-0.0492,down,10.635474,6.395013
layer_ablation_top3,0.0134,-0.0532,down,10.517763,6.220894
gradient_surgery,0.0169,-0.054,down,0.101976,0.13968
action_diversity,0.0169,-0.054,down,0.101983,0.139664
baseline_rl,0.0169,-0.0564,down,0.101957,0.139703
layer_ablation_top1,0.0132,-0.0597,down,10.650373,8.088361
normalized_adv,-0.0223,-0.0676,down,79.138849,158.024277
