Method,HighLow_Ratio,LowHigh_Cos_Sim,Dominant_Regime
baseline_rl,0.073,0.0209,low-t
kl_penalty,0.072,0.0304,low-t
ewc,0.073,0.0246,low-t
llrd,0.067,0.0109,low-t
lora,0.282,0.9634,low-t
mixed_replay,0.075,0.0126,low-t
trust_region_kl,0.072,0.0455,low-t
t_curriculum,0.127,0.0185,low-t
entropy_bonus,0.072,0.0288,low-t
gradient_surgery,0.073,0.0213,low-t
advantage_clip,0.07,0.0291,low-t
normalized_adv,0.348,0.8077,low-t
bc_wins,0.067,0.0473,low-t
low_t,0.089,0.048,low-t
frozen_backbone,0.287,0.993,low-t
head_only,0.288,0.9928,low-t
attention_only,0.286,0.9921,low-t
ffn_only,0.313,0.9511,low-t
layer_ablation_top1,0.291,0.9848,low-t
layer_ablation_top2,0.289,0.9878,low-t
layer_ablation_top3,0.29,0.9863,low-t
reward_filtering,0.07,0.0241,low-t
running_stats,0.073,0.0223,low-t
action_diversity,0.073,0.0212,low-t
reward_model,0.073,0.0235,low-t
